,interaction,type,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
81,SchoolConnect_x_Race_5.0,test_metrics,logistic_regression,AST,0.5364012661309958,0.08445297504798464,0.5789473684210527,0.1474036850921273,0.1663306451612903,0.32608695652173914,0.22029372496662217,0.13785557986870897,0.2202797202797203,0.1695827725437416,0.9036031820308844,0.5961716579191109,0.7183779761904763,0.3230605955272171,0.43037142578540577,0.31391453969824185,0.7442851558304711,0.5364012661309958,0.6082294236008219
82,SchoolConnect_x_Race_nan,train_metrics,logistic_regression,AST,0.45403673973448594,0.48130169003955414,0.6198672429762272,0.5418662708319276,0.35626590807007036,0.36732016054337757,0.36170859618454054,0.38460512273212377,0.22252238345168263,0.2819284177586544,0.5500560067208065,0.6064371719666564,0.5768722466960352,0.44305718189063864,0.45403673973448594,0.44059388286778944,0.4430571818906387,0.45403673973448594,0.44059388286778944
83,SchoolConnect_x_Race_nan,test_metrics,logistic_regression,AST,0.5381056732408084,0.08670520231213873,0.5921052631578947,0.15126050420168066,0.16548223350253807,0.3221343873517787,0.21864520456069753,0.14565217391304347,0.23426573426573427,0.17962466487935655,0.9029398040130658,0.5974066069774622,0.7190635451505016,0.3251948534351965,0.43647799793821745,0.3171484796980591,0.7442420629329091,0.5381056732408084,0.6093376549123476
84,NeighborConnect_x_ParentalWarmth,train_metrics,logistic_regression,AST,0.45716270453843777,0.4864457831325301,0.6232633528866934,0.5464203545811341,0.36061477892186555,0.3676288978079654,0.36408805992967436,0.38645367412140574,0.23340537202840383,0.2910350801212646,0.5517581565781129,0.6043531954306884,0.5768593214719858,0.44631809818847856,0.4571627045384378,0.4446007040260147,0.4463180981884786,0.45716270453843777,0.44460070402601476
85,NeighborConnect_x_ParentalWarmth,test_metrics,logistic_regression,AST,0.5385926467007548,0.08704061895551257,0.5921052631578947,0.15177065767284992,0.16888433981576254,0.32608695652173914,0.22252191503708696,0.1416490486257928,0.23426573426573427,0.17654808959156784,0.9042056074766355,0.5974066069774622,0.7194645844952593,0.3254449037184258,0.43746614023070757,0.317576311699191,0.745386937791866,0.5385926467007548,0.6099267596287402
86,NeighborConnect_x_Is_Male,train_metrics,logistic_regression,AST,0.4547892868169188,0.48379895009955953,0.6188638468663168,0.5430593653696366,0.3567138726180767,0.37133374498301946,0.36387701849260673,0.38264709702558775,0.22738499536894102,0.28525780682643426,0.5541414859580519,0.6015745600493979,0.5768846452758966,0.4443253514253189,0.45478928681691877,0.4422697089911435,0.444325351425319,0.4547892868169188,0.4422697089911435
87,NeighborConnect_x_Is_Male,test_metrics,logistic_regression,AST,0.5366447528609691,0.08704061895551257,0.5921052631578947,0.15177065767284992,0.16699801192842942,0.33201581027667987,0.22222222222222224,0.14814814814814814,0.23776223776223776,0.1825503355704698,0.9049411764705882,0.5937017598024081,0.7170022371364654,0.32678198887566956,0.4388962677498051,0.31838636315050184,0.7461872223119089,0.5366447528609691,0.6083658769139875
88,NeighborConnect_x_Race_1.0,train_metrics,logistic_regression,AST,0.45316841617783266,0.4792849377944196,0.6125347329422661,0.5377786813037879,0.35602890833016354,0.3612225995677678,0.3586069499252902,0.3833997173326481,0.23031799938252548,0.2877670090168282,0.5499372297391547,0.6085983328187712,0.5777826628563054,0.4421626982990965,0.45316841617783266,0.44048382577555295,0.4421626982990965,0.45316841617783266,0.4404838257755529
89,NeighborConnect_x_Race_1.0,test_metrics,logistic_regression,AST,0.5420014609203798,0.08687258687258688,0.5921052631578947,0.15151515151515152,0.17012448132780084,0.3241106719367589,0.2231292517006803,0.13793103448275862,0.22377622377622378,0.17066666666666666,0.9037482646922721,0.6029638777400432,0.7233333333333334,0.3246690918438546,0.4357390091527302,0.317161100803958,0.7449170220001271,0.5420014609203798,0.6126383944993985
90,NeighborConnect_x_Race_2.0,train_metrics,logistic_regression,AST,0.45532957702994753,0.4832355406538139,0.6229546156221056,0.5442713601726347,0.35658914728682173,0.36924976844705154,0.36280903989079333,0.38690792974986693,0.2244519913553566,0.28409534974599454,0.5520789288231148,0.6046619326952763,0.5771752744419067,0.4447028866284044,0.4553295770299476,0.44208775606283235,0.44470288662840435,0.45532957702994753,0.4420877560628323
